MotifID	TF_Info
M6422_1.02	PLAGL1
M6423_1.02	POU2F1
M6425_1.02	POU3F1
M6426_1.02	POU3F2
M6427_1.02	POU4F2
M6429_1.02	POU6F1
M6430_1.02	PPARA
M6432_1.02	PPARD
M6433_1.02	PPARG
M6436_1.02	PGR
M6438_1.02	PROP1
M6439_1.02	PRRX1
M6440_1.02	PRRX2
M6441_1.02	PTF1A
M6442_1.02	PURA
M6443_1.02	RARA
M6445_1.02	RARB
M6446_1.02	RARG
M6448_1.02	RELB
M6449_1.02	REL
M6451_1.02	RFX1
M6453_1.02	RFX3
M6454_1.02	RORA
M6455_1.02	RORC
M6456_1.02	RREB1
M6457_1.02	RUNX1
M6459_1.02	RUNX3
M6461_1.02	RXRB
M6462_1.02	RXRG
M6463_1.02	SMAD1
M6464_1.02	SMAD2
M6465_1.02	SMAD3
M6466_1.02	SMAD4
M6468_1.02	SNAI1
M6469_1.02	SNAI2
M6470_1.02	SOX10
M6471_1.02	SOX13
M6472_1.02	SOX15
M6473_1.02	SOX17
M6474_1.02	SOX18
M6475_1.02	SOX2
M6476_1.02	SOX4
M6477_1.02	SOX5
M6478_1.02	SOX9
M6482_1.02	SP3
M6483_1.02	SP4
M6485_1.02	SPIB
M6486_1.02	SPZ1
M6490_1.02	SRY
M6491_1.02	STAT5A
M6492_1.02	STAT5B
M6496_1.02	STAT4
M6497_1.02	STAT6
M6498_1.02	NR5A1
M6499_1.02	RBPJ
M6500_1.02	TAL1
M6503_1.02	TBX2
M6504_1.02	TBX3
M6505_1.02	TBX5
M6506_1.02	TCF7
M6507_1.02	TEAD1
M6508_1.02	TEAD3
M6509_1.02	TEAD4
M6510_1.02	TEF
M6513_1.02	TFAP4
M6514_1.02	TFCP2
M6515_1.02	TFDP1
M6516_1.02	TCF3
M6517_1.02	TFE3
M6518_1.02	TFEB
M6519_1.02	TGIF1
M6521_1.02	THRA
M6523_1.02	THRB
M6525_1.02	TLX1
M6527_1.02	TWIST1
M6529_1.02	UBP1
M6532_1.02	VDR
M6534_1.02	VSX2
M6535_1.02	WT1
M6536_1.02	XBP1
M6537_1.02	YBX1
M6539_1.02	ZBTB7B
M6540_1.02	ZBTB4
M6542_1.02	ZBTB6
M6544_1.02	HIVEP1
M6545_1.02	HIVEP2
M6546_1.02	ZFHX3
M6547_1.02	ZFX
M6548_1.02	ZIC1
M6549_1.02	ZIC2
M6550_1.02	ZIC3
M6552_1.02	ZNF148
M6553_1.02	ZNF219
M6554_1.02	ZNF238
M6555_1.02	ZNF333
M6556_1.02	ZNF350
M6557_1.02	ZNF384
M6558_1.02	ZNF423
M6559_1.02	ZNF589
