Sample	Sex	PCW	RIN	ReadLength	PC1	PC2	PC3	PEER1	PEER2	PEER3	PEER4	PEER5	PEER6	PEER7	PEER8	PEER9	PEER10
18559	Female	13	3.4000000953674316	2x125bp	0.053013499826192856	0.04149239882826805	-4.08480002079159e-4	-0.01645178534090519	8.259184542112052e-4	-0.0010296656982973218	-0.02708381786942482	-0.0016881839837878942	0.007353245746344328	0.010739120654761791	-0.028333982452750206	-0.04194173589348793	0.15683482587337494
18611	Female	12	6	2x76bp	0.05611959844827652	0.03376090154051781	0.011518900282680988	-0.01649906300008297	9.593318100087345e-4	-0.002886309055611491	-0.012756019830703735	-0.0016141749219968915	-4.375925927888602e-4	-0.006311942357569933	-0.05532318353652954	-0.019572360441088676	-0.02063046023249626
18655	Female	13	8.399999618530273	2x125bp	-0.011323800310492516	-0.5143460035324097	0.10869099944829941	-0.01632947102189064	9.071727399714291e-4	-3.184282104484737e-4	-0.003981423564255238	-0.0017577832331880927	-0.015637746080756187	0.07088051736354828	0.10705844312906265	0.11165093630552292	-0.23220133781433105
18687	Female	14	8.300000190734863	2x125bp	0.05598960071802139	0.028762400150299072	0.002029010094702244	-0.01625722460448742	0.0010917336912825704	7.497254991903901e-4	0.06401626020669937	-0.0017396860057488084	-0.005184279289096594	0.03317870572209358	-0.005019630305469036	0.02700965106487274	-0.03951684385538101
18694	Female	13	7.400000095367432	2x125bp	0.05471879988908768	0.02298640087246895	0.027466900646686554	-0.0164223350584507	8.52764118462801e-4	6.120745092630386e-4	0.009262481704354286	-0.00171522400341928	-0.008745995350182056	0.0077349478378891945	-0.012224278412759304	-0.0017257415456697345	0.0468190535902977
18983	Female	18	4.699999809265137	2x125bp	0.05440770089626312	0.030668700113892555	0.021088700741529465	-0.016473224386572838	0.0010117448400706053	0.0015916720731183887	-0.015504781156778336	-0.0016526852268725634	0.007274041883647442	-0.004443068988621235	-4.5451801270246506e-5	0.10996408760547638	0.10778633505105972
19031	Female	14	6.199999809265137	2x76bp	0.05532990023493767	0.0298250000923872	0.014832199551165104	-0.016356272622942924	9.52450034674257e-4	-0.0017475276254117489	-0.0850585475564003	-0.001684566610492766	-0.002366218715906143	0.016455458477139473	-0.024961862713098526	-0.14667724072933197	-0.007840419188141823
19043	Female	14	4.400000095367432	2x125bp	0.05358380079269409	0.035284098237752914	0.005901420023292303	-0.01631387136876583	0.0012718598591163754	0.005044561345130205	0.03135645017027855	-0.0017007243586704135	-0.008080707862973213	0.005200237035751343	0.05823281407356262	0.022473320364952087	0.07079041749238968
19052	Female	15	4.699999809265137	2x125bp	0.05640929937362671	0.04939800128340721	0.029355600476264954	-0.016420049592852592	9.140535839833319e-4	0.001037584152072668	0.09471356123685837	-0.0016963656526058912	-0.01914825849235058	0.009750264696776867	-0.13657402992248535	-0.07178273797035217	0.07973391562700272
11396	Female	12	8.399999618530273	2x76bp	0.04461739957332611	0.011827999725937843	0.03071649931371212	-0.016043949872255325	0.0013821382308378816	-7.611899054609239e-4	-0.053236670792102814	-0.0017732777632772923	-0.012619090266525745	-0.016954127699136734	-0.002383130369707942	-0.08464574068784714	-0.1170525774359703
11654	Female	13	8	2x76bp	0.05503319948911667	0.030821099877357483	0.024022100493311882	-0.0158656295388937	0.0017291618278250098	-0.0032316362485289574	-0.006802561692893505	-0.001742747612297535	-0.0015300508821383119	0.0034591129515320063	-0.013490992598235607	-0.08128912001848221	-0.10185377299785614
11907	Female	16	9.300000190734863	2x76bp	0.05540110170841217	0.0419498011469841	0.02057640068233013	-0.016298431903123856	0.0015902386512607336	-0.002482866868376732	0.040681395679712296	-0.001573785673826933	-0.010169604793190956	-0.02169370837509632	0.0070266746915876865	0.10372474789619446	-0.05142088234424591
12116	Female	14	8.300000190734863	2x76bp	0.02635980024933815	-0.19770300388336182	0.049079298973083496	-0.01636059209704399	0.0016500544734299183	-8.07588585303165e-5	-0.0508606843650341	-0.001570648280903697	-0.006518974434584379	8.472263580188155e-4	-0.009447150863707066	0.01186109147965908	-0.012537570670247078
12153	Female	14	8	2x76bp	-0.18342800438404083	0.048721399158239365	0.11756899952888489	-0.01630997285246849	0.0017695650458335876	0.002079808386042714	-0.04909120127558708	-0.0015824747970327735	-4.3625058606266975e-4	-0.015579796396195889	0.0032228440977633	0.004016689490526915	-0.06161755323410034
12972	Female	14	9.399999618530273	2x76bp	0.05539520084857941	0.03367270156741142	-0.005244260188192129	-0.016434859484434128	0.0017743828939273953	0.0033502669539302588	-0.09913476556539536	-0.0015767865115776658	-0.018959704786539078	-0.0012058345600962639	-0.004348678980022669	-0.002289219293743372	0.010585213080048561
13117	Female	15	7.5	2x76bp	0.0546175017952919	0.04099990054965019	0.003942199982702732	-0.01630157046020031	0.0015563039341941476	-8.098879479803145e-4	-0.014915929175913334	-0.001608830294571817	0.004035521298646927	0.012514679692685604	0.07341871410608292	0.04062122106552124	-0.008257291279733181
