"genes"	"modules"
"ANKRD2"	"M1"
"ANKRD20A1"	"M1"
"ANKRD20A11P"	"M1"
"ANKRD20A17P"	"M7"
"ANKRD20A18P"	"M1"
"ANKRD20A19P"	"M4"
"ANKRD20A21P"	"M1"
"ANKRD20A2P"	"M1"
"ANKRD20A3P"	"M1"
"ANKRD20A4P"	"M4"
"ANKRD20A5P"	"M1"
"ANKRD20A7P"	"M1"
"ANKRD20A8P"	"M1"
"ANKRD23"	"M5"
"ANKRD24"	"M7"
"ANKRD26"	"M14"
"ANKRD26P1"	"M1"
"ANKRD26P4"	"M1"
"ANKRD29"	"M1"
"ANKRD30A"	"M3"
"ANKRD30B"	"M1"
"ANKRD30BL"	"M1"
"ANKRD30BP2"	"M1"
"ANKRD31"	"M1"
"ANKRD33B"	"M1"
"ANKRD34A"	"M10"
"ANKRD34B"	"M1"
"ANKRD34C"	"M1"
"ANKRD34C-AS1"	"M1"
"ANKRD35"	"M14"
"ANKRD36"	"M3"
"ANKRD36B"	"M3"
"ANKRD36BP1"	"M3"
"ANKRD36BP2"	"M17"
"ANKRD36C"	"M3"
"ANKRD37"	"M1"
"ANKRD40"	"M1"
"ANKRD40CL"	"M2"
"ANKRD42"	"M1"
"ANKRD44"	"M1"
"ANKRD44-IT1"	"M13"
"ANKRD46"	"M16"
"ANKRD49"	"M2"
"ANKRD49P1"	"M15"
"ANKRD49P2"	"M6"
"ANKRD50"	"M11"
"ANKRD52"	"M2"
"ANKRD53"	"M25"
"ANKRD55"	"M1"
"ANKRD6"	"M1"
"ANKRD61"	"M2"
"ANKRD62"	"M1"
"ANKRD62P1"	"M2"
"ANKRD62P1-PARP4P3"	"M1"
"ANKRD65"	"M13"
"ANKRD66"	"M33"
"ANKRD7"	"M1"
"ANKRD9"	"M3"
"ANKS1A"	"M1"
"ANKS1B"	"M1"
"ANKS4B"	"M24"
"ANKS6"	"M12"
"ANKUB1"	"M3"
"ANKZF1"	"M10"
"ANLN"	"M8"
"ANO1"	"M32"
"ANO10"	"M3"
"ANO2"	"M1"
"ANO3"	"M23"
"ANO4"	"M21"
"ANO5"	"M1"
"ANO7"	"M1"
"ANO7L1"	"M1"
"ANO8"	"M5"
"ANP32A"	"M11"
"ANP32B"	"M11"
"ANP32C"	"M3"
"ANP32E"	"M9"
"ANPEP"	"M20"
"ANTKMT"	"M3"
"ANTXR1"	"M10"
"ANTXR2"	"M1"
"ANXA1"	"M19"
"ANXA11"	"M1"
"ANXA13"	"M4"
"ANXA2"	"M19"
"ANXA2R"	"M2"
"ANXA3"	"M1"
"ANXA4"	"M26"
"ANXA5"	"M2"
"ANXA8"	"M19"
"ANXA8L1"	"M4"
"AOAH"	"M2"
"AOC1"	"M19"
"AOC2"	"M8"
"AOC3"	"M1"
"AOC4P"	"M20"
"AOX1"	"M26"
"AP1AR"	"M7"
"AP1B1"	"M6"
"AP1B1P1"	"M2"
"AP1G2"	"M1"
"AP1M2"	"M1"
"AP1S1"	"M4"
"AP1S3"	"M1"
"AP2A1"	"M14"
"AP2A2"	"M10"
"AP2B1"	"M1"
"AP2M1"	"M29"
"AP2S1"	"M4"
